work_id,input_type,status,found_people,image_source
267,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
268,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
269,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
270,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
271,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
272,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
273,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
274,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
275,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
276,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
277,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
278,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
279,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
